Compound ID,smiles,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,ESOL predicted log solubility in mols per litre,LogP,AromaticProportion,FluorineAtoms,ChlorineAtoms,BromineAtoms,IodineAtoms,TotalHalogenAtoms
Amigdalin,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,1,457.432,7,3,7,202.32,-0.77,-0.974,-3.1080199999999985,0.1875,0.0,0.0,0.0,0.0,0.0
Fenfuram,Cc1occc1C(=O)Nc2ccccc2,1,201.225,1,2,2,42.24,-3.3,-2.885,2.840320000000001,0.7333333333333333,0.0,0.0,0.0,0.0,0.0
citral,CC(C)=CCCC(C)=CC(=O),1,152.237,0,0,4,17.07,-2.06,-2.579,2.878000000000001,0.0,0.0,0.0,0.0,0.0,0.0
Picene,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,2,278.354,0,5,0,0.0,-7.87,-6.618,6.299400000000004,1.0,0.0,0.0,0.0,0.0,0.0
Thiophene,c1ccsc1,2,84.143,0,1,0,0.0,-1.33,-2.232,1.7480999999999998,1.0,0.0,0.0,0.0,0.0,0.0
benzothiazole,c2ccc1scnc1c2 ,2,135.191,0,2,0,12.89,-1.5,-2.733,2.2962999999999996,1.0,0.0,0.0,0.0,0.0,0.0
"2,2,4,6,6'-PCB",Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,1,326.437,0,2,1,0.0,-7.32,-6.545,6.620600000000001,0.7058823529411765,0.0,5.0,0.0,0.0,5.0
Estradiol,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,1,272.388,2,4,0,40.46,-5.03,-4.138,3.6092000000000026,0.3,0.0,0.0,0.0,0.0,0.0
Dieldrin,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,1,380.913,0,5,0,12.53,-6.29,-4.533,4.481400000000002,0.0,0.0,6.0,0.0,0.0,6.0
Rotenone,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,1,394.423,0,5,3,63.22,-4.42,-5.246,3.7033000000000023,0.41379310344827586,0.0,0.0,0.0,0.0,0.0
2-pyrrolidone,O=C1CCCN1,1,85.106,1,1,0,29.1,1.07,0.243,-0.10360000000000008,0.0,0.0,0.0,0.0,0.0,0.0
2-Chloronapthalene,Clc1ccc2ccccc2c1,1,162.619,0,2,0,0.0,-4.14,-4.063,3.4932000000000016,0.9090909090909091,0.0,1.0,0.0,0.0,1.0
